ID,City,State,State Abbr,Population,School Districts,Elementary Schools,Elementary Enrollment,Median HH Income,College %,STEM %,COL Index,Metro Income,National Brand Count (Weighted),Local Provider Estimate,Demand Adjusted Market,CSI Score,Saturation Category,Brand Detail,Confidence,Last Updated
"554","New York city","New York","NY","8478072","59","155","68200","76607","","8.3","112.99","77461","403","205","80378.42","0.0075592427","saturated","Code Ninjas(25)|Snapology(6)|Engineering For Kids(8)|Bricks 4 Kidz(10)|iD Tech(3)|Camp Invention(13)|Mad Science(11)|Galileo Learning(5)|Challenge Island(8)|Young Chefs Academy(5)|Primrose Schools(48)|Goddard School(25)|KinderCare(127)|i9 Sports(19)|Wiz Kids Camps(1)","medium","2026-05-21T08:42:03.000Z"
"42","Los Angeles city","California","CA","3878704","166","323","142120","76244","","12.4","113.31","77196","181","426","166704.58","0.0036433314","competitive","Code Ninjas(12)|Snapology(3)|Engineering For Kids(3)|Bricks 4 Kidz(4)|iD Tech(1)|Camp Invention(6)|Mad Science(5)|Galileo Learning(2)|Challenge Island(3)|Young Chefs Academy(2)|Primrose Schools(22)|Goddard School(12)|KinderCare(58)|i9 Sports(9)","medium","2026-05-21T08:42:03.000Z"
"345","Chicago city","Illinois","IL","2721308","11","462","203280","71673","","13.4","105.71","68044","128","610","224149.03","0.0032917385","moderate","Code Ninjas(8)|Snapology(2)|Engineering For Kids(2)|Bricks 4 Kidz(3)|iD Tech(1)|Camp Invention(4)|Mad Science(4)|Galileo Learning(2)|Challenge Island(2)|Young Chefs Academy(2)|Primrose Schools(15)|Goddard School(8)|KinderCare(41)|i9 Sports(6)","medium","2026-05-21T08:42:03.000Z"
"672","Houston city","Texas","TX","2390125","41","440","193600","60440","","14.5","98.77","63767","112","581","180018.22","0.0038484994","competitive","Code Ninjas(7)|Snapology(2)|Engineering For Kids(2)|Bricks 4 Kidz(3)|iD Tech(1)|Camp Invention(4)|Mad Science(3)|Galileo Learning(1)|Challenge Island(2)|Young Chefs Academy(1)|Primrose Schools(13)|Goddard School(7)|KinderCare(36)|i9 Sports(5)","medium","2026-05-21T08:42:03.000Z"
"12","Phoenix city","Arizona","AZ","1673164","185","250","110000","72092","","13.1","103.88","59060","82","330","122001.84","0.003376998","moderate","Code Ninjas(5)|Snapology(1)|Engineering For Kids(2)|Bricks 4 Kidz(2)|iD Tech(1)|Camp Invention(3)|Mad Science(2)|Galileo Learning(1)|Challenge Island(2)|Young Chefs Academy(1)|Primrose Schools(9)|Goddard School(5)|KinderCare(25)|i9 Sports(4)","medium","2026-05-21T08:42:03.000Z"
"631","Philadelphia city","Pennsylvania","PA","1573916","87","194","85360","57537","","13.9","100.74","65078","75","256","75559.36","0.0043817204","competitive","Code Ninjas(5)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(2)|iD Tech(1)|Camp Invention(2)|Mad Science(2)|Galileo Learning(1)|Challenge Island(1)|Young Chefs Academy(1)|Primrose Schools(9)|Goddard School(5)|KinderCare(24)|i9 Sports(4)","medium","2026-05-21T08:42:03.000Z"
"673","San Antonio city","Texas","TX","1526656","41","302","132880","59593","","14.5","95.01","63767","73","399","121826.43","0.0038714095","competitive","Code Ninjas(5)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(2)|iD Tech(1)|Camp Invention(2)|Mad Science(2)|Galileo Learning(1)|Challenge Island(1)|Young Chefs Academy(1)|Primrose Schools(9)|Goddard School(5)|KinderCare(23)|i9 Sports(3)","medium","2026-05-21T08:42:03.000Z"
"43","San Diego city","California","CA","1404452","52","176","77440","98657","","12.4","114.63","77196","67","232","117538.43","0.0025465714","moderate","Code Ninjas(4)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(2)|iD Tech(1)|Camp Invention(2)|Mad Science(2)|Galileo Learning(1)|Challenge Island(1)|Young Chefs Academy(1)|Primrose Schools(8)|Goddard School(4)|KinderCare(21)|i9 Sports(3)","medium","2026-05-21T08:42:03.000Z"
"674","Dallas city","Texas","TX","1326087","21","215","94600","63985","","14.5","97.41","63767","61","284","93122.78","0.0037026384","competitive","Code Ninjas(4)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(2)|Mad Science(2)|Galileo Learning(1)|Challenge Island(1)|Young Chefs Academy(1)|Primrose Schools(7)|Goddard School(4)|KinderCare(20)|i9 Sports(3)","medium","2026-05-21T08:42:03.000Z"
"253","Jacksonville city","Florida","FL","1009833","2","114","50160","64138","","10.9","98.49","65429","49","150","49494.8","0.004030322","competitive","Code Ninjas(3)|Snapology(1)|Engineering For Kids(1)|Bricks 4 Kidz(1)|Camp Invention(2)|Mad Science(1)|Galileo Learning(1)|Challenge Island(1)|Young Chefs Academy(1)|Primrose Schools(6)|Goddard School(3)|KinderCare(15)|i9 Sports(2)","medium","2026-05-21T08:42:03.000Z"
